0,"{'prod_desc': 'pen', 'unit_price': 5.23, 'order_price': 2.5, 'unit': 'pc'}"
1,"{'prod_desc': 'pencil', 'unit_price': 4.15, 'order_price': 3.01, 'unit': 'pc'}"
2,"{'prod_desc': 'marker', 'unit_price': 1.05, 'order_price': 0.55, 'unit': 'pc'}"
3,"{'prod_desc': 'eraser', 'unit_price': 0.75, 'order_price': 0.45, 'unit': 'pc'}"
4,"{'prod_desc': 'staple', 'unit_price': 8.95, 'order_price': 5.78, 'unit': 'box'}"
5,"{'prod_desc': 'rubber band', 'unit_price': 6.07, 'order_price': 5.0, 'unit': 'box'}"
6,"{'prod_desc': 'writing pad', 'unit_price': 3.33, 'order_price': 2.25, 'unit': 'pc'}"
7,"{'prod_desc': 'copy paper', 'unit_price': 20.68, 'order_price': 17.53, 'unit': 'rim'}"
8,"{'prod_desc': 'fax paper', 'unit_price': 12.55, 'order_price': 8.72, 'unit': 'rim'}"
9,"{'prod_desc': 'ink cartridge', 'unit_price': 51.99, 'order_price': 39.37, 'unit': 'pc'}"
10,"{'prod_desc': 'cd-rom', 'unit_price': 1.47, 'order_price': 1.17, 'unit': 'pc'}"
11,"{'prod_desc': 'zip drive', 'unit_price': 125.25, 'order_price': 110.38, 'unit': 'pc'}"